HRR,HRR Name,Provider ID,Hospital Name,City,State,System,Number of deaths among chronically ill patients assigned to hospital,Percent of enrollees medical inpatient days at hospital to which they were assigned,Hospital Care Intensity Index during the Last Two Years of Life,Total Medicare Reimbursements per Decedent during the Last Two Years of Life,Inpatient Sector Reimbursements per Decedent during the Last Two Years of Life,Outpatient Sector Reimbursements per Decedent during the Last Two Years of Life,SNF/Long-Term Care Sector Reimbursements per Decedent during the Last Two Years of Life,Home Health Sector Reimbursements per Decedent during the Last Two Years of Life,Hospice Sector Reimbursements per Decedent during the Last Two Years of Life,Ambulance spending per Decedent during the last two years of life,Reimbursements for Durable Medical Equipment per Decedent during the Last Two Years of Life,Other spending per Decedent during the last two years of life,Part B Spending per Decedent during the Last Two Years of Life,Part B Spending for Evaluation & Management per Decedent during the Last Two Years of Life,Part B Spending for Procedures per Decedent during the Last Two Years of Life,Part B Spending for Imaging per Decedent during the Last Two Years of Life,Part B Spending for Tests per Decedent during the Last Two Years of Life,Other Part B spending per Decedent during the last two years of life,Hospital reimbursements per Decedent during the last two years of life,Inpatient Days per Decedent during the Last Two Years of Life,Reimbursements per patient day (calculated),Hospital Reimbursements: Ratio to US Average (calculated),Hospital Days: Ratio to US Average (calculated),Reimbursements per Day: Ratio to US Average (calculated),Payments for physician visits per Decedent during the last two years of life,Physician Visits per Decedent during the Last Two Years of Life,Payments per physician visit (calculated),Physician visit payments: Ratio to US Average (calculated),Physician visits: Ratio to US Average (calculated),Payments per visit: Ratio to US Average (calculated),"Hospital Bed Inputs per 1,000 Decedents during the Last Two Years of Life","Total ICU Bed Inputs per 1,000 Decedents during the Last Two Years of Life","High-Intensity ICU Bed Inputs per 1,000 Decedents during the Last Two Years of Life","Intermediate-Intensity ICU Bed Inputs per 1,000 Decedents during the Last Two Years of Life","Medical & Surgical Unit Bed Inputs per 1,000 Decedents during the Last Two Years of Life","SNF Bed Inputs per 1,000 Dededents during the Last Two Years of Life","FTE Physician Labor Inputs per 1,000 Decedents during the Last Two Years of Life","FTE Medical Specialist Labor Inputs per 1,000 Decedents during the Last Two Years of Life","FTE Primary Care Physician Labor Inputs per 1,000 Decedents during the Last Two Years of Life",Standardized FTE physician labor: Ratio MS/PC (calculated),"RNs Required Under Proposed Federal Standards per 1,000 Decedents during the Last Two Years of Life",Inpatient Days per Decedent during the Last Six Months of Life,Total ICU Days per Decedent during the Last Six Months of Life,High-Intensity ICU Days per Decedent during the Last Six Months of Life,Intermediate-Intensity ICU Days per Decedent during the Last Six Months of Life,Medical & Surgical Unit Days per Decedent during the Last Six Months of Life,SNF Days per Decedent during the Last Six Months of Life,Physician Visits per Decedent during the Last Six Months of Life,Medical Specialist Visits per Decedent during the Last Six Months of Life,Primary Care Visits per Decedent during the Last Six Months of Life,Physician visits per decedent last 6 months: Ratio MS/PC (calculated),Home Health Agency Visits per Decedent during the Last Six Months of Life,Percent of Deaths Occurring In Hospital,Percent of Deaths Associated With ICU Admission,Percent of Decedents Enrolled In Hospice during the Last Six Months of Life,Hospice Days per Decedent during the Last Six Months of Life,Percent of Decedents Seeing 10 or More Different Physicians during the Last Six Months of Life,Number of Different Physicians Seen per Decedent during the Last Six Months of Life,Average Co-Payments per Decedent during the Last Two Years of Life,Average Co-Payments for Physician Services per Decedent during the Last Two Years of Life,Average Co-Payments for Durable Medical Equipment per Decedent during the Last Two Years of Life
2,AL- DOTHAN,10001,Southeast Alabama Medical Center,Dothan,AL,,512,89.3,1.1,"76,072","32,856","16,031","12,309","5,124","6,670","1,724",891,467,"15,259","6,020","2,657",971,855,"4,756","28,314",18.8,"1,510",0.8,1.0,0.7,"6,122",68.4,89,0.9,1.0,0.8,51.4,10.4,7.9,2.5,41.0,39.7,32.2,10.5,15.7,0.7,45.1,10.7,2.6,2.1,0.5,8.1,6.1,31.8,10.9,17.4,0.6,11.9,23.5,16.6,59.2,33.1,61.2,13.4,"4,738","4,450",287
1,AL- BIRMINGHAM,10005,Marshall Medical Center South,Boaz,AL,Marshall Health System,307,92.2,0.8,"63,443","22,599","13,535","11,229","5,506","7,454","1,195","1,279",647,"10,597","4,952","1,650",971,715,"2,308","19,617",16.5,"1,192",0.5,0.9,0.6,"5,045",50.6,100,0.7,0.8,0.9,45.1,13.0,9.4,3.6,32.1,67.3,25.2,7.6,12.8,0.6,41.7,10.2,3.4,2.7,0.7,6.8,10.0,24.3,9.2,12.4,0.7,12.8,24.7,18.7,61.3,29.5,41.5,9.5,"3,306","2,907",399
1,AL- BIRMINGHAM,10006,Eliza Coffee Memorial Hospital,Florence,AL,LifePoint Health,469,92.0,1.0,"65,624","26,522","13,035","10,832","5,579","7,029","1,338",958,333,"13,670","5,563","2,358",791,792,"4,167","22,555",17.8,"1,270",0.6,1.0,0.6,"5,645",65.3,86,0.8,1.0,0.8,48.7,12.3,8.0,4.3,36.4,59.8,29.1,12.6,12.1,1.0,43.6,10.3,3.1,2.1,1.0,7.1,9.4,31.1,15.9,13.0,1.2,13.3,31.9,19.3,50.6,32.6,54.3,11.1,"4,317","4,016",300
1,AL- BIRMINGHAM,10011,St. Vincent's East,Birmingham,AL,Ascension Healthcare,250,88.7,1.2,"75,472","33,363","13,757","14,090","4,848","5,691","2,293",934,496,"18,115","7,262","2,653",960,835,"6,405","27,545",20.5,"1,346",0.7,1.1,0.6,"7,345",78.3,94,1.0,1.2,0.9,56.1,26.1,15.5,10.6,30.0,40.5,33.0,12.1,14.5,0.8,56.3,13.7,7.3,4.6,2.7,6.4,7.2,43.2,16.1,20.3,0.8,12.8,25.4,21.5,62.1,27.6,68.5,16.5,"5,427","5,121",307
1,AL- BIRMINGHAM,10012,Dekalb Regional Medical Center,Fort Payne,AL,Quorum Health,122,91.0,0.6,"64,469","24,816","9,999","11,117","5,608","9,779","1,600",913,635,"11,165","4,440","2,004",861,902,"2,958","22,146",12.5,"1,768",0.6,0.7,0.8,"4,507",46.3,97,0.6,0.7,0.9,34.3,26.8,7.9,18.8,7.6,48.6,23.0,7.7,10.2,0.8,36.4,7.7,5.8,2.0,3.8,1.9,8.0,20.6,9.0,9.1,1.0,16.2,16.7,15.2,67.9,36.0,33.7,8.9,"3,362","3,076",286
1,AL- BIRMINGHAM,10016,Shelby Baptist Medical Center,Alabaster,AL,TENET Healthcare Corporation,253,91.3,1.0,"73,512","31,115","12,535","12,202","5,157","9,241","1,745",886,630,"15,042","6,032","2,827","1,085",962,"4,135","26,567",16.4,"1,617",0.7,0.9,0.8,"6,054",69.6,87,0.8,1.1,0.8,45.0,14.2,10.7,3.5,30.8,40.6,31.7,13.0,12.8,1.0,42.7,10.6,4.0,3.1,1.0,6.5,5.0,35.5,16.2,15.7,1.0,8.5,18.6,15.3,73.0,37.8,57.1,13.7,"4,494","4,213",281
1,AL- BIRMINGHAM,10019,Helen Keller Hospital,Sheffield,AL,Huntsville Hospital Health System,242,86.1,0.9,"70,869","24,682","15,009","13,654","6,562","8,275","1,583",765,339,"15,329","5,262","2,474",964,986,"5,644","21,319",16.5,"1,289",0.6,0.9,0.6,"5,356",58.4,92,0.8,0.9,0.9,45.3,11.7,4.9,6.8,33.6,67.6,27.5,10.3,12.3,0.8,39.3,10.1,2.8,1.2,1.5,7.4,12.8,28.5,12.4,14.3,0.9,16.7,27.1,16.6,60.5,37.3,55.5,11.0,"4,605","4,369",236
7,AL- MONTGOMERY,10023,Baptist Medical Center South,Montgomery,AL,Baptist Health,292,81.9,0.9,"70,880","31,008","16,302","11,361","3,834","5,010","1,678","1,161",527,"12,445","5,673","2,662","1,007","1,052","2,050","26,773",16.3,"1,644",0.7,0.9,0.8,"5,770",59.5,97,0.8,0.9,0.9,44.6,9.7,8.4,1.3,35.0,44.1,29.3,9.6,14.5,0.7,40.1,10.6,3.0,2.6,0.3,7.6,8.2,31.0,11.5,16.0,0.7,10.2,30.0,20.5,53.6,24.2,62.7,14.8,"4,111","3,734",377
7,AL- MONTGOMERY,10024,Jackson Hospital And Clinic,Montgomery,AL,,327,87.5,1.0,"73,369","31,059","16,646","12,763","4,344","4,517","2,420","1,032",588,"13,540","6,182","2,560",838,990,"2,970","26,429",18.3,"1,445",0.7,1.0,0.7,"6,238",62.5,100,0.9,0.9,0.9,50.1,15.3,7.6,7.7,34.8,39.1,32.0,11.4,15.5,0.7,45.2,11.5,4.2,2.1,2.0,7.4,7.6,31.9,12.6,16.9,0.7,11.2,28.7,19.1,50.2,19.8,61.0,12.9,"4,259","3,923",336
1,AL- BIRMINGHAM,10029,East Alabama Medical Center,Opelika,AL,,395,93.7,0.8,"57,096","24,296","11,437","7,784","4,416","6,106","1,745",899,413,"9,463","4,357","1,719",639,564,"2,185","21,232",15.6,"1,358",0.6,0.9,0.7,"4,398",50.7,87,0.6,0.8,0.8,42.8,15.9,5.2,10.7,26.9,34.3,23.8,7.4,12.1,0.6,38.7,9.4,3.9,1.3,2.6,5.5,6.4,23.7,8.5,13.0,0.7,10.3,19.7,16.3,68.0,32.0,47.3,9.9,"3,232","2,926",307
